epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,326.685,2.06778,3.93401,1.93247,0.00204,0.21004,0.01127,0.00368,1.93268,4.1898,2.04424,0.00090018,0.00030006,0.00090018,0.00030006,0.00090018,0.00030006,0.00090018,0.00030006
2,567.298,2.05156,3.88679,1.85828,0.00216,0.23389,0.01848,0.00643,1.83916,4.13765,1.95412,0.001484,0.000494666,0.001484,0.000494666,0.001484,0.000494666,0.001484,0.000494666
3,772.433,1.92727,3.8371,1.78058,0.0022,0.23708,0.02001,0.00707,1.79457,4.07855,1.89339,0.00169154,0.000563846,0.00169154,0.000563846,0.00169154,0.000563846,0.00169154,0.000563846
4,964.709,1.83766,3.74443,1.68655,0.00234,0.25006,0.02942,0.01095,1.74897,4.01449,1.84342,0.0015228,0.000507602,0.0015228,0.000507602,0.0015228,0.000507602,0.0015228,0.000507602
5,1149.09,1.82122,3.75247,1.66101,0.00227,0.23924,0.03408,0.01421,1.71574,3.9759,1.80389,0.000977796,0.000325932,0.000977796,0.000325932,0.000977796,0.000325932,0.000977796,0.000325932
